,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1749.jpg,0,0,0,0,0,0,0,0,12,15,24,25,37,74,76,76,72,72,70,68,50,38,37,26,20,23,22,23,26,22,24,25,26,21,21,21,20,21,21,16,17,18,17,20,16,22,21,20,54,57,90,91,94,93,94,94,92,90,36,10,8,4,0,2,0,0,0,0,0,0,0,0,3,3,5,7,7,7,10,37,41,67,67,67,66,66,64,60,57,24,21,19,1,0,5,0,0,0,0,0
1768.jpg,0,0,0,0,0,0,0,21,28,28,32,48,66,67,66,62,61,61,57,38,27,30,26,18,17,18,20,17,18,20,14,18,19,19,19,17,19,18,18,20,15,17,15,14,15,13,16,38,36,61,69,74,82,79,83,76,77,51,49,43,29,28,23,16,10,5,4,7,0,1,1,0,0,1,0,1,5,3,1,11,41,51,65,68,73,71,69,69,61,61,43,40,16,1,2,2,0,0,0,0
1789.jpg,0,0,1,0,1,0,0,13,15,28,32,36,48,65,69,76,75,74,74,70,68,58,57,39,25,24,22,22,22,21,19,22,17,19,22,17,19,19,13,14,16,17,17,18,17,16,17,16,21,18,20,31,33,43,65,66,87,88,89,89,91,91,93,91,91,37,35,18,8,8,3,0,0,0,0,0,0,0,0,0,3,4,2,36,62,62,62,59,58,59,59,58,25,20,2,9,0,0,0,0
1798.jpg,0,0,0,4,1,0,30,46,54,63,65,73,73,73,72,71,69,67,66,51,46,41,25,26,24,22,21,22,24,22,20,21,16,18,16,18,19,18,19,16,18,21,20,18,17,20,15,13,21,19,38,41,51,75,79,91,93,92,90,89,88,87,86,44,41,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,23,61,63,63,63,63,60,60,36,34,5,0,1,0,0,0,0,0
1809.jpg,0,0,1,4,0,2,9,11,33,33,53,51,53,51,51,49,51,49,15,15,17,15,15,13,16,14,15,16,16,15,13,16,13,14,15,17,17,12,17,12,17,16,16,10,8,14,9,10,10,14,17,19,16,15,20,17,27,22,25,87,88,89,89,90,85,83,84,15,15,5,3,3,0,0,0,0,0,0,0,0,7,7,9,10,19,13,14,29,30,69,65,66,67,66,63,47,32,18,19,6
1827.jpg,0,0,0,0,0,0,0,0,1,10,36,40,68,69,70,68,67,66,66,65,64,51,52,26,21,20,20,22,18,17,22,16,17,19,18,17,21,19,18,15,16,16,15,17,14,20,19,18,43,38,46,87,87,88,89,89,91,89,62,24,17,19,15,11,0,0,0,0,0,0,0,0,0,1,0,3,0,1,6,6,10,31,33,60,60,59,59,57,57,56,55,11,2,1,4,0,0,0,0,0
1829.jpg,0,1,0,6,8,10,26,28,40,65,65,67,65,63,62,60,59,40,37,28,18,26,22,20,17,18,19,16,19,17,17,20,13,15,15,15,16,14,15,17,16,16,16,16,16,17,16,14,21,20,24,24,23,47,77,80,81,82,82,83,82,80,50,50,18,18,12,2,0,4,1,1,0,0,0,0,0,0,0,0,2,0,1,10,4,4,29,31,64,65,61,62,62,59,46,42,17,1,3,2
184.jpg,0,1,0,1,22,25,32,33,59,59,59,59,57,54,53,54,48,47,32,32,28,13,15,13,14,14,14,14,14,13,13,11,14,13,13,11,12,12,13,13,12,12,12,15,14,13,14,14,16,18,18,42,42,52,78,82,81,82,83,81,80,78,77,61,52,26,20,19,10,8,3,0,0,0,0,0,0,0,0,0,2,4,6,5,35,52,59,59,57,57,55,55,53,51,49,43,21,2,1,6
1846.jpg,0,0,0,0,0,0,0,0,1,4,13,20,25,28,40,63,62,63,62,61,59,53,38,20,19,22,21,19,18,20,19,17,22,18,19,22,19,21,19,17,20,21,23,17,20,20,21,16,33,45,53,49,75,84,88,87,88,89,52,52,64,31,24,23,19,10,5,2,1,2,0,0,0,2,0,1,0,1,2,6,15,11,37,73,73,73,72,69,62,61,8,2,3,2,1,1,0,0,0,0
1857.jpg,0,1,0,0,1,2,0,6,21,29,47,49,77,76,76,71,68,65,62,23,20,28,20,20,21,22,17,17,21,15,16,15,18,17,15,19,14,14,14,14,15,15,12,15,14,10,14,15,18,16,15,30,35,43,48,62,85,87,90,86,57,49,49,32,33,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,12,12,22,48,51,50,46,30,14,13,3,0,0,0,0
